lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice,lat,lon
CR,2021,56,2/25/2021,1,,36,,-22,27,,0,27,46.001604,-89.612963
CR,2022,32,2/1/2022,1,,10.2,,0,38,,6,32,46.001604,-89.612963
CR,2022,47,2/16/2022,1,,16.6,,0,40,,12,28,46.001604,-89.612963
CR,2022,74,3/15/2022,1,,22,,,41,,8,33,46.001604,-89.612963
CR,2023,19,1/19/2023,1,,21,,-3,28,,16,12,46.001604,-89.612963
CR,2023,48,2/17/2023,1,,0,,4,40,,28,12,46.001604,-89.612963
CR,2023,79,3/20/2023,1,,20,,-1,43,,27,16,46.001604,-89.612963
FI,1996,39,2/8/1996,1,5,6,,,,,,,43.287488,-89.652827
FI,1997,15,1/15/1997,1,5,10,,,32,1,,,43.287488,-89.652827
FI,1997,52,2/21/1997,1,5,3,,,31,1,,,43.287488,-89.652827
FI,1998,29,1/29/1998,1,5,41.7,,,12,1,,,43.287488,-89.652827
FI,1999,28,1/28/1999,1,1,0,,,30,1,,,43.287488,-89.652827
FI,1999,56,2/25/1999,1,5,6,,,21,1,,,43.287488,-89.652827
FI,2000,27,1/27/2000,1,5,4,,,27,1,,,43.287488,-89.652827
FI,2001,9,1/9/2001,1,5,7.4,,,26,1,15,11,43.287488,-89.652827
FI,2003,27,1/27/2003,1,1,0,,0,40,1,40,0,43.287488,-89.652827
FI,2004,42,2/11/2004,1,5,10,,1,35,1,20,15,43.287488,-89.652827
FI,2005,42,2/11/2005,1,5,10,,0,40,1,2,38,43.287488,-89.652827
FI,2006,60,3/1/2006,1,5,4,,2,33,1,2,31,43.287488,-89.652827
FI,2007,66,3/7/2007,1,5,13,,0,39,1,10,29,43.287488,-89.652827
FI,2008,53,2/22/2008,1,10,11.8,,1,40,1,17,23,43.287488,-89.652827
FI,2009,23,1/23/2009,1,5,10,,1,35,1,8,27,43.287488,-89.652827
FI,2010,50,2/19/2010,1,5,8,,1,41,1,0,41,43.287488,-89.652827
FI,2011,52,2/21/2011,1,1,0,,3,45,1,10,35,43.287488,-89.652827
FI,2013,45,2/14/2013,1,,0,,1,34,,6,28,43.287488,-89.652827
FI,2014,85,3/26/2014,1,,0.4,,3,52,,4,48,43.287488,-89.652827
FI,2015,16,1/16/2015,1,,3.4,,1,30,,0,30,43.287488,-89.652827
FI,2016,47,2/16/2016,1,,2,,5,37,,1,36,43.287488,-89.652827
FI,2017,48,2/17/2017,1,,0,,2,33,,5,28,43.287488,-89.652827
FI,2018,58,2/27/2018,1,,,,2,37,,1,36,43.287488,-89.652827
FI,2019,59,2/28/2019,1,,30,,1,40.9,,9,31.9,43.287488,-89.652827
FI,2020,64,3/4/2020,1,,1,,3,30,,20,10,43.287488,-89.652827
FI,2021,65,3/6/2021,1,,0,,2,30,,11,19,43.287488,-89.652827
FI,2022,73,3/14/2022,1,,,,2,40,,10,30,43.287488,-89.652827
FI,2023,44,2/13/2023,1,,2.6,,3,27,,3,24,43.287488,-89.652827
ME,1996,37,2/6/1996,1,5,12,,,46,1,,,43.107973,-89.413888
ME,1997,14,1/14/1997,1,5,4,,,31,1,,,43.107973,-89.413888
ME,1997,48,2/17/1997,1,5,5,,,45,1,,,43.107973,-89.413888
ME,1998,37,2/6/1998,1,5,2,,,,,,,43.107973,-89.413888
ME,1999,25,1/25/1999,1,5,3,,,30,1,,,43.107973,-89.413888
ME,1999,53,2/22/1999,1,1,0,,,25,1,,,43.107973,-89.413888
ME,2000,24,1/24/2000,1,5,1,,1,17,1,,,43.107973,-89.413888
ME,2000,59,2/28/2000,1,1,0,,,16,1,,,43.107973,-89.413888
ME,2001,17,1/17/2001,1,5,5.4,,,25,1,10,15,43.107973,-89.413888
ME,2001,66,3/7/2001,1,1,0,,,50,1,10,40,43.107973,-89.413888
ME,2003,21,1/21/2003,1,1,0,,0,25,1,0,25,43.107973,-89.413888
ME,2004,34,2/3/2004,1,5,5,,,64,1,,64,43.107973,-89.413888
ME,2005,31,1/31/2005,1,5,,,0.5,25,1,0,25,43.107973,-89.413888
ME,2006,65,3/6/2006,1,5,15,,-1,25,1,10,15,43.107973,-89.413888
ME,2007,50,2/19/2007,1,5,3.6,,1,45,1,0,45,43.107973,-89.413888
ME,2008,44,2/13/2008,1,5,18,,0,32,1,2,30,43.107973,-89.413888
ME,2009,21,1/21/2009,1,5,8,,0,40,1,8,32,43.107973,-89.413888
ME,2010,32,2/1/2010,1,1,0,,3,35,1,0,35,43.107973,-89.413888
ME,2011,19,1/19/2011,1,5,11,,1,30,1,0,30,43.107973,-89.413888
ME,2012,53,2/22/2012,1,1,0,,1,18,1,1,17,43.107973,-89.413888
ME,2013,43,2/12/2013,1,,0,,2,37,,7,30,43.107973,-89.413888
ME,2014,34,2/3/2014,1,,9.8,,1.5,57.1,,9.4,47.7,43.107973,-89.413888
ME,2015,42,2/11/2015,1,,6.8,,1,38,,0,38,43.107973,-89.413888
ME,2016,27,1/27/2016,1,,5.2,,1,27,,1,26,43.107973,-89.413888
ME,2017,37,2/6/2017,1,,2,,1,28,,3,25,43.107973,-89.413888
ME,2018,23,1/23/2018,1,,,,7,42,,7,35,43.107973,-89.413888
ME,2019,52,2/21/2019,1,,19,,-3,31,,3,28,43.107973,-89.413888
ME,2020,43,2/12/2020,1,,,,1,23,,3,20,43.107973,-89.413888
ME,2021,62,3/3/2021,1,,0,,2.5,35,,6,29,43.107973,-89.413888
ME,2022,39,2/8/2022,1,,2,,4,41,,0,41,43.107973,-89.413888
ME,2023,59,2/28/2023,1,,0,,1,29,,12,17,43.107973,-89.413888
MO,1996,37,2/6/1996,1,5,13,,,38,1,,,43.070363,-89.358233
MO,1997,14,1/14/1997,1,5,4,,,30,1,,,43.070363,-89.358233
MO,1997,48,2/17/1997,1,5,35,,,42,1,,,43.070363,-89.358233
MO,1999,27,1/27/1999,1,1,0,,,26,1,,,43.070363,-89.358233
MO,1999,54,2/23/1999,1,1,0,,,19,1,,,43.070363,-89.358233
MO,2000,25,1/25/2000,1,5,3,,,19,1,,,43.070363,-89.358233
MO,2001,15,1/15/2001,1,5,10,,,27,1,11,16,43.070363,-89.358233
MO,2003,44,2/13/2003,1,5,2.5,,0,40,1,0,40,43.070363,-89.358233
MO,2004,48,2/17/2004,1,5,9.8,,0.5,32.5,1,12.5,20,43.070363,-89.358233
MO,2005,34,2/3/2005,1,5,2.2,,0.5,40,1,15,25,43.070363,-89.358233
MO,2007,57,2/26/2007,1,5,15,,-2,39,1,1,38,43.070363,-89.358233
MO,2008,63,3/3/2008,1,1,0,,2,50,1,12,38,43.070363,-89.358233
MO,2009,36,2/5/2009,1,5,6,,1,44,1,4,40,43.070363,-89.358233
MO,2010,34,2/3/2010,1,5,8,,3,33,1,0,33,43.070363,-89.358233
MO,2011,26,1/26/2011,1,5,12.6,,0,32,1,0,32,43.070363,-89.358233
MO,2013,36,2/5/2013,1,,2,,1,29,,3,26,43.070363,-89.358233
MO,2014,72,3/13/2014,1,,0,,2,65,,9,56,43.070363,-89.358233
MO,2015,65,3/6/2015,1,,4,,1,45,,0,45,43.070363,-89.358233
MO,2016,35,2/4/2016,1,,1,,1,29,,1,28,43.070363,-89.358233
MO,2017,44,2/13/2017,1,,0,,2,38,,4,34,43.070363,-89.358233
MO,2018,24,1/24/2018,1,,,,,44,,3,41,43.070363,-89.358233
MO,2019,58,2/27/2019,1,,10,,1,35,,7.9,27.1,43.070363,-89.358233
MO,2020,58,2/27/2020,1,,10,,0.5,31.5,,15.5,16,43.070363,-89.358233
MO,2021,62,3/3/2021,1,,0,,2.5,37,,14,23,43.070363,-89.358233
MO,2022,32,2/1/2022,1,,4,,20,65,,0,65,43.070363,-89.358233
SP,1982,20,1/20/1982,1,10,4.3,3,6.8,43,1,22.5,20.5,46.009317,-89.700024
SP,1982,55,2/24/1982,1,10,13.4,2.1,1.7,49.2,1,29.3,19.9,46.009317,-89.700024
SP,1982,95,4/5/1982,1,10,4,1.8,4,51,1,24.7,26.3,46.009317,-89.700024
SP,1983,13,1/13/1983,1,10,24,0.8,0,27,1,1,26,46.009317,-89.700024
SP,1983,55,2/24/1983,1,1,1,,0,29,1,1,28,46.009317,-89.700024
SP,1983,87,3/28/1983,1,10,9.5,1.3,0,39,1,8,31,46.009317,-89.700024
SP,1984,6,1/6/1984,1,10,2.7,1.1,,36.2,1,11.8,24.4,46.009317,-89.700024
SP,1984,58,2/27/1984,1,10,1,1.8,4,47.5,1,15,32.5,46.009317,-89.700024
SP,1984,101,4/10/1984,1,1,0,0,2.5,44.5,1,5,39.5,46.009317,-89.700024
SP,1985,11,1/11/1985,1,10,8.8,1,1,28.7,1,3,25.7,46.009317,-89.700024
SP,1985,58,2/27/1985,1,10,11.7,3.2,3.5,48,1,4,44,46.009317,-89.700024
SP,1985,85,3/26/1985,1,10,0.5,0.5,5,56,1,12,44,46.009317,-89.700024
SP,1985,101,4/11/1985,1,1,0,,5,50,1,50,,46.009317,-89.700024
SP,1986,14,1/14/1986,1,10,17.5,1.8,1,29,1,6,23,46.009317,-89.700024
SP,1986,58,2/27/1986,1,10,17.7,2.8,-2,51,1,34,17,46.009317,-89.700024
SP,1987,14,1/14/1987,1,10,3.5,0.7,0,24,1,0,24,46.009317,-89.700024
SP,1987,55,2/24/1987,1,10,13.4,1.8,0,41,1,0,41,46.009317,-89.700024
SP,1987,83,3/24/1987,1,1,0,,3,34,,34,0,46.009317,-89.700024
SP,1988,19,1/19/1988,1,10,2.8,1.6,4,35,1,16,19,46.009317,-89.700024
SP,1988,60,2/29/1988,1,10,10.4,5.1,0,54,2,51,3,46.009317,-89.700024
SP,1988,95,4/4/1988,1,1,0,,6,58,2,9.5,48.5,46.009317,-89.700024
SP,1989,12,1/12/1989,1,10,18.3,,-2.8,33,1,0,33,46.009317,-89.700024
SP,1989,54,2/23/1989,1,10,7.9,,5,58.5,1,17.5,41,46.009317,-89.700024
SP,1989,88,3/29/1989,1,10,,,4.5,50,1,5,45,46.009317,-89.700024
SP,1990,17,1/17/1990,1,10,15.9,,-5,36,1,,36,46.009317,-89.700024
SP,1990,50,2/19/1990,1,10,15.9,,1,51,1,10,41,46.009317,-89.700024
SP,1990,87,3/28/1990,1,1,0,,3,39,1,4,35,46.009317,-89.700024
SP,1991,16,1/16/1991,1,10,8.8,,1,38,1,5,33,46.009317,-89.700024
SP,1991,50,2/19/1991,1,10,8.6,,2,55,1,5,50,46.009317,-89.700024
SP,1991,84,3/25/1991,1,1,0,,3,53,1,3,50,46.009317,-89.700024
SP,1992,14,1/14/1992,1,10,11.3,,0,30,1,7,23,46.009317,-89.700024
SP,1992,61,3/1/1992,1,10,22.5,,4,41,1,7,34,46.009317,-89.700024
SP,1992,87,3/27/1992,1,10,0.4,,2,52,1,10,42,46.009317,-89.700024
SP,1993,13,1/13/1993,1,10,19,,1,36.5,1,6,30.5,46.009317,-89.700024
SP,1993,60,3/1/1993,1,10,2.7,,3.5,60.5,1,21.5,39,46.009317,-89.700024
SP,1993,81,3/22/1993,1,10,9.1,,3,56,1,23,33,46.009317,-89.700024
SP,1994,12,1/12/1994,1,10,6.8,,1,30,1,10,20,46.009317,-89.700024
SP,1994,52,2/21/1994,1,1,0,,2,39,1,6,33,46.009317,-89.700024
SP,1994,87,3/28/1994,1,10,15.5,,1,44,1,0,44,46.009317,-89.700024
SP,1995,9,1/9/1995,1,10,2.1,,2,30,1,2,28,46.009317,-89.700024
SP,1995,51,2/20/1995,1,10,15.5,,2,42,1,1,41,46.009317,-89.700024
SP,1995,83,3/24/1995,1,10,1,,1,34,1,0,34,46.009317,-89.700024
SP,1996,24,1/24/1996,1,10,11,,1.5,51,1,22,29,46.009317,-89.700024
SP,1996,52,2/21/1996,1,10,11.7,,0,53,1,26,27,46.009317,-89.700024
SP,1996,92,4/1/1996,1,10,18.2,,0,70,1,32,38,46.009317,-89.700024
SP,1997,14,1/14/1997,1,10,11,,1,37,1,26,11,46.009317,-89.700024
SP,1997,48,2/17/1997,1,10,24.5,,-2,40,1,26,14,46.009317,-89.700024
SP,1997,84,3/25/1997,1,10,31,,-5,44,1,31,13,46.009317,-89.700024
SP,1998,12,1/12/1998,1,10,17.5,,0,26,1,0,26,46.009317,-89.700024
SP,1998,54,2/23/1998,1,1,0,,2,35,1,11,24,46.009317,-89.700024
SP,1998,77,3/18/1998,1,10,8.5,,2,37,1,8,29,46.009317,-89.700024
SP,1999,18,1/18/1999,1,10,22.9,,-4,26,1,0,26,46.009317,-89.700024
SP,1999,54,2/23/1999,1,10,9,,1,41,1,14,27,46.009317,-89.700024
SP,1999,83,3/24/1999,1,10,1,,4,53,1,17,36,46.009317,-89.700024
SP,2000,18,1/18/2000,1,10,18.9,,-2.5,27.5,1,0.5,27,46.009317,-89.700024
SP,2000,53,2/22/2000,1,10,27.6,,-4,36,1,2,34,46.009317,-89.700024
SP,2001,22,1/22/2001,1,10,20.7,,-4,32,1,10,22,46.009317,-89.700024
SP,2001,59,2/28/2001,1,10,15.7,,0,44,1,23,21,46.009317,-89.700024
SP,2001,93,4/3/2001,1,10,2.2,,2,45,1,32,13,46.009317,-89.700024
SP,2002,16,1/16/2002,1,10,5.1,,0,16.5,1,4,12.5,46.009317,-89.700024
SP,2002,59,2/28/2002,1,10,1.6,,2,38,1,11,27,46.009317,-89.700024
SP,2002,91,4/1/2002,1,10,15,,0,54,1,21,33,46.009317,-89.700024
SP,2003,15,1/15/2003,1,10,1,,4,45,1,0,45,46.009317,-89.700024
SP,2003,65,3/6/2003,1,10,17.5,,1,61,1,0,61,46.009317,-89.700024
SP,2003,92,4/2/2003,1,10,7.5,,1,48,1,0,48,46.009317,-89.700024
SP,2004,12,1/12/2004,1,10,10,,0,37,1,8,29,46.009317,-89.700024
SP,2004,49,2/18/2004,1,10,29.7,,-3,42,1,7,35,46.009317,-89.700024
SP,2004,98,4/7/2004,1,1,0,,2,39,1,6,33,46.009317,-89.700024
SP,2005,19,1/19/2005,1,10,11.2,,0,43,1,0,43,46.009317,-89.700024
SP,2005,56,2/25/2005,1,10,10,,1,54,1,5,49,46.009317,-89.700024
SP,2005,96,4/6/2005,1,1,0,,2,42,1,0,42,46.009317,-89.700024
SP,2006,17,1/17/2006,1,10,12.5,,0,29,1,6,23,46.009317,-89.700024
SP,2006,44,2/13/2006,1,10,23.6,,-5,33,1,12,21,46.009317,-89.700024
SP,2006,90,3/31/2006,1,1,0,,3,41,1,21,20,46.009317,-89.700024
SP,2007,15,1/15/2007,1,10,6.8,,2,29,1,8,21,46.009317,-89.700024
SP,2007,51,2/20/2007,1,10,8.7,,2,42,1,5,37,46.009317,-89.700024
SP,2007,87,3/28/2007,1,1,0,,2,27,1,0,27,46.009317,-89.700024
SP,2008,17,1/17/2008,1,10,11.1,,1,33,1,8,25,46.009317,-89.700024
SP,2008,63,3/3/2008,1,10,18.9,,0,48,1,13,35,46.009317,-89.700024
SP,2008,87,3/27/2008,1,10,16.1,,-5,50,1,6,44,46.009317,-89.700024
SP,2008,123,5/2/2008,1,1,0,,0,0,1,0,0,46.009317,-89.700024
SP,2009,20,1/20/2009,1,10,17.8,,1,45,1,6,39,46.009317,-89.700024
SP,2009,55,2/24/2009,1,10,3.6,,4,55,1,9,46,46.009317,-89.700024
SP,2009,79,3/20/2009,1,1,0,,4,56,1,5,51,46.009317,-89.700024
SP,2010,12,1/12/2010,1,10,5.7,,2,32,1,17,15,46.009317,-89.700024
SP,2010,42,2/11/2010,1,10,9.4,,1,46,1,14,32,46.009317,-89.700024
SP,2011,18,1/18/2011,1,10,16.9,,0,31,1,10,21,46.009317,-89.700024
SP,2011,45,2/14/2011,1,10,16.9,,-2,35,1,11,24,46.009317,-89.700024
SP,2011,80,3/21/2011,1,10,1.4,,1,43,1,7,36,46.009317,-89.700024
SP,2012,12,1/12/2012,1,10,9,,0,29,1,1,28,46.009317,-89.700024
SP,2012,52,2/21/2012,1,10,9.4,,2,41,1,11,30,46.009317,-89.700024
SP,2013,14,1/14/2013,1,,0,,1,21,,1,20,46.009317,-89.700024
SP,2013,56,2/25/2013,1,,21,,0,45,,16,29,46.009317,-89.700024
SP,2013,88,3/29/2013,1,,7.2,,1,59,,24,35,46.009317,-89.700024
SP,2014,30,1/30/2014,1,,32.1,,-3,38,,7,31,46.009317,-89.700024
SP,2014,48,2/17/2014,1,,22,,-1,50,,32,18,46.009317,-89.700024
SP,2014,83,3/24/2014,1,,10.8,,5,72,,45,27,46.009317,-89.700024
SP,2015,14,1/14/2015,1,,24.1,,-12,23,,10,13,46.009317,-89.700024
SP,2015,55,2/24/2015,1,,12.2,,1,43,,20,23,46.009317,-89.700024
SP,2015,83,3/24/2015,1,,0,,3,38,,12,26,46.009317,-89.700024
SP,2016,21,1/21/2016,1,,6.5,,0,22,,5,17,46.009317,-89.700024
SP,2016,67,3/7/2016,1,,0.3,,3,43,,14,29,46.009317,-89.700024
SP,2017,17,1/17/2017,1,,16.5,,-1,26,,9,17,46.009317,-89.700024
SP,2017,53,2/22/2017,1,,0,,2,32,,9,23,46.009317,-89.700024
SP,2017,86,3/27/2017,1,,0,,1,31,,1,30,46.009317,-89.700024
SP,2018,15,1/15/2018,1,,10.2,,0,31,,8,23,46.009317,-89.700024
SP,2018,53,2/22/2018,1,,14.6,,0,46,,33,13,46.009317,-89.700024
SP,2018,85,3/26/2018,1,,3.1,,4,56,,30,26,46.009317,-89.700024
SP,2019,22,1/22/2019,1,,9.5,,2,41,,2,39,46.009317,-89.700024
SP,2019,50,2/19/2019,1,,36.5,,-4,48,,0,48,46.009317,-89.700024
SP,2019,87,3/28/2019,1,,3.2,,0,53,,13,40,46.009317,-89.700024
SP,2020,14,1/14/2020,1,,13.6,,0,27,,13,14,46.009317,-89.700024
SP,2020,48,2/17/2020,1,,5.9,,5,43,,25,18,46.009317,-89.700024
SP,2021,18,1/18/2021,1,,15.8,,1,25,,1,24,46.009317,-89.700024
SP,2021,53,2/22/2021,1,,18.5,,3,42,,17,25,46.009317,-89.700024
SP,2022,27,1/27/2022,1,,6.1,,3,39,,7,32,46.009317,-89.700024
SP,2022,46,2/15/2022,1,,11.9,,1,49,,8,41,46.009317,-89.700024
SP,2022,73,3/14/2022,1,,11,,,57,,19,38,46.009317,-89.700024
SP,2023,17,1/17/2023,1,,6,,3,23,,9,14,46.009317,-89.700024
SP,2023,44,2/13/2023,1,,7.2,,2,39,,26,13,46.009317,-89.700024
SP,2023,74,3/15/2023,1,,31,,-3,40,,27,13,46.009317,-89.700024
TB,1982,27,1/27/1982,1,10,25.8,1.3,0,32.5,1,12.1,20.4,46.041136,-89.686269
TB,1982,62,3/3/1982,1,10,9.1,0.8,5.5,39.3,1,32.7,6.6,46.041136,-89.686269
TB,1982,96,4/6/1982,1,10,8.2,0.4,0,52,1,41,11,46.041136,-89.686269
TB,1982,334,11/30/1982,1,10,0.5,0,0,11,1,0,11,46.041136,-89.686269
TB,1983,10,1/10/1983,1,10,27.9,0.8,0,17,1,8,9,46.041136,-89.686269
TB,1983,53,2/22/1983,1,10,0.5,0.4,0,31,1,15,16,46.041136,-89.686269
TB,1983,83,3/24/1983,1,10,10.1,0.5,1,30,1,8,22,46.041136,-89.686269
TB,1983,318,11/14/1983,1,0,,,,2,1,,,46.041136,-89.686269
TB,1984,3,1/3/1984,1,10,8.1,1.2,,35.3,1,13.2,22.1,46.041136,-89.686269
TB,1984,59,2/28/1984,1,10,2.3,0.3,5,46,1,22,24,46.041136,-89.686269
TB,1984,95,4/4/1984,1,1,0,0,2,46,1,14,32,46.041136,-89.686269
TB,1985,15,1/15/1985,1,10,14.8,0.5,0,26,1,6,20,46.041136,-89.686269
TB,1985,58,2/27/1985,1,10,5.4,0.6,3,31,1,7,24,46.041136,-89.686269
TB,1985,84,3/25/1985,1,10,2.5,1.4,2,47,1,18,29,46.041136,-89.686269
TB,1985,100,4/10/1985,1,1,0,,5,48,1,24,,46.041136,-89.686269
TB,1986,10,1/10/1986,1,10,19.2,0.9,0,25,1,10,15,46.041136,-89.686269
TB,1986,56,2/25/1986,1,10,26,0,2,40,1,34,6,46.041136,-89.686269
TB,1986,90,3/31/1986,1,4,0.8,1.5,-3,28,1,22,6,46.041136,-89.686269
TB,1987,15,1/15/1987,1,10,15.4,0.7,0,23,1,20,3,46.041136,-89.686269
TB,1987,54,2/23/1987,1,10,10.1,0.6,1,37,1,14,23,46.041136,-89.686269
TB,1987,79,3/20/1987,1,1,0,,1,35,,17,18,46.041136,-89.686269
TB,1988,14,1/14/1988,1,10,15.6,0.8,0,23,1,15,8,46.041136,-89.686269
TB,1988,61,3/1/1988,1,10,9.4,0.5,2,44,1,33,11,46.041136,-89.686269
TB,1988,83,3/23/1988,1,10,4.9,0.5,3,51,3,18,33,46.041136,-89.686269
TB,1989,17,1/17/1989,1,10,21.4,,0,31,1,13.5,17.5,46.041136,-89.686269
TB,1989,65,3/6/1989,1,10,33.8,,-1.3,46.2,1,24,22.2,46.041136,-89.686269
TB,1989,86,3/27/1989,1,10,,,5,58.5,1,36.5,22,46.041136,-89.686269
TB,1990,15,1/15/1990,1,10,9.5,,-13.5,27.5,1,7.5,20,46.041136,-89.686269
TB,1990,59,2/28/1990,1,10,22.2,,0,50,1,30,20,46.041136,-89.686269
TB,1990,86,3/27/1990,1,1,0,,3.5,41,1,24.5,16.5,46.041136,-89.686269
TB,1991,16,1/16/1991,1,10,22,,-2,24,1,0,24,46.041136,-89.686269
